Code	Description
1	GENERAL PRACTICE
2	GENERAL SURGERY
3	ALLERGY
4	OTOLARYNGOLOGY
5	ANESTHESIA
6	CARDIOVASCULAR DI
7	DERMATOLOGY
8	FAMILY PRACTICE
9	GYNECOLOGY
10	GASTROENTEROLOGY
11	INTERNAL MEDICINE
12	OSTEOPATH (NOT COVERED)
13	NEUROLOGY
14	NEUROLOGICAL SURG
15	CHILD NEUROLOGY
16	OB-GYN
17	OBSTETRICS
18	OPHTHALMOLOGY
19	ORAL SURGERY
20	ORTHOPEDIC SURGERY
21	ONCOLOGY
22	PATHOLOGY
23	OCCUPATIONAL MEDICINE
24	PLASTIC SURGERY
25	PHYSICAL MED AND REHAB
26	PSYCHIATRY
27	CHILD PSYCHIATRY
28	INFECTIOUS DISEASE
29	PULMONARY DISEASE
30	RADIOLOGY
31	RADIATION ONCOLOGY
32	DIAGNOSTIC RADIOLOGY
33	THORACIC SURGERY
34	UROLOGY
35	CHIROPRACTIC
36	NUCLEAR MEDICINE
37	PEDIATRICS
38	GERIATRICS
39	NEPHROLOGY
40	HAND SURGERY
41	OPTOMETRIST
42	HEMATOLOGY
43	IMMUNOLOGY
44	RHEUMATOLOGY
45	ALLERGY AND IMMUNOLOGY
46	CRITICAL CARE MEDICINE
47	DERMATOPATHOLOGY
48	PODIATRIST
49	EMERGENCY MEDICINE
50	CRNA
51	DIABETES
52	ENDOCRINOLOGY
53	FACIAL PLASTIC SURGERY
54	MATERNAL AND FETAL MED
55	HEAD AND NECK SURGERY
56	VASCULAR SURGERY
57	TRAUMATIC SURGERY
58	OPTICIAN
59	COLON AND RECTAL SURGERY
60	ABDOMINAL SURGERY
61	PSYCHOANALYSIS
62	PSYCHOLOGIST
63	CARDIOVASCULAR SURGERY
64	AUDIOLOGIST
65	PHYSICAL THERAPIST
66	OCCUPATIONAL THERAPY
67	SPEECH PATHOLOGIST
68	NEONATOLOGY
69	INDEPENDENT LAB
70	INDEPENDENT RADIOLOGY
71	NURSE MIDWIVES
72	NURSE PRACTITIONERS
73	LICENSED PROF COUNSELOR
74	LICENSED ADDIC COUNSELOR
75	SOCIAL WORKER
76	ACUPUNCTURIST
77	CHRISTIAN SCIENCE PRACT
78	PEDIATRIC ALLERGY
79	PEDIATRIC CARDIOLOGY
80	PEDIATRIC ENDOCRINOLOGY
81	PED HEMOLOGY-ONCOLOGY
82	PEDIATRIC NEPHROLOGY
83	PEDIATRIC PULMONOLOGY
84	PEDIATRIC RADIOLOGY
85	PEDIATRIC SURGERY
86	ADOLESCENT MEDICINE
87	AEROSPACE MEDICINE
88	NEONATAL-PERINATAL MED
89	DIAG LAB IMMUNOLOGY
90	GYNECOLOGICAL ONCOLOGY
91	DENTIST
92	IMMUNOPATHOLOGY
93	LEGAL MEDICINE
94	MEDICAL MICROBIOLOGY
95	NEUROPATHOLOGY
96	NUCLEAR RADIOLOGY
97	NUTRITION
98	NATUROPATHIC MED
99	INELIGIBLE PROVIDER
100	OS MULT SPEC PROV
101	OUT OF COUNTRY DOCTOR
102	UNKNOWN SPECIALTY
103	ER-MULTIPLE DOCTOR
104	FAMILY PLANNING
105	DOCTOR GROUPS
106	PHYS ASSISTANT
107	PUBLIC COMM HLTH
108	PVT DUTY NURSING
109	STUDENT HLTH SERV
110	ORTHODONTIST
111	DENTURIST
